Year,FHouse,polity2
1972,3.5,-7
1973,1.5,-7
1974,1.5,-7
1975,1.5,-7
1976,1.5,-7
1977,1.5,-7
1978,1,0
1989,1,-8
1990,1,-8
1991,1,-8
1992,2,0
1993,1,0
1994,1,0
1995,1,0
1996,1,-7
1997,1,-7
1998,1,-7
1999,1,-7
2000,1,-7
1972,1,-9
1973,1,-9
1974,1,-9
1975,1,-9
1976,1,-9
1977,1,-9
1978,1,-9
1979,1,-9
1980,1,-9
1981,1,-9
1982,1,-9
1983,1,-9
1984,1,-9
1985,1,-9
1986,1,-9
1987,1,-9
1988,1,-9
1989,1,-9
1990,1.5,1
1991,4,1
1992,4.5,5
1993,5,5
1994,4.5,5
1995,4.5,5
1996,4,0
1997,4,5
1998,3.5,5
1999,3.5,5
2000,3.5,5
2001,4.5,5
2002,5,7
2003,5,7
2004,5,7
2005,5,9
2006,5,9
1972,2,-9
1973,2,-9
1974,2,-9
1975,1.5,-9
1976,2,-9
1977,2,-9
1978,2,-9
1979,2,-9
1980,2,-9
1981,2,-9
1982,2,-9
1983,2,-9
1984,2,-9
1985,2,-9
1986,2,-9
1987,2,-9
1988,2.5,-9
1989,3,-2
1990,4,-2
1991,4,-2
1992,1.5,-7
1993,1.5,-7
1994,1,-7
1995,2,-3
1996,2,-3
1997,2,-3
1998,2.5,-3
1999,2.5,-3
2000,2.5,-3
2001,2.5,-3
2002,2.5,-3
2003,2.5,-3
2004,2.5,2
2005,2.5,2
2006,2.5,2
1975,2,-7
1976,2,-7
1977,1,-7
1978,1,-7
1979,1,-7
1980,1,-7
1981,1,-7
1982,1,-7
1983,1,-7
1984,1,-7
1985,1,-7
1986,1,-7
1987,1,-7
1988,1,-7
1989,1,-7
1990,1,-7
1991,3,-3
1992,2,0
1993,1,-1
1994,1,-1
1995,2,-2
1996,2,-2
1997,2,-3
1998,2,-3
1999,2,-3
2000,2,-3
2001,2,-3
2002,2.5,-2
2003,2.5,-2
2004,2.5,-2
2005,2.5,-2
2006,2.5,-2
1972,3.5,-9
1973,6,6
1974,5,6
1975,5,6
1976,2.5,-9
1977,2,-9
1978,2.5,-9
1979,2.5,-9
1980,2.5,-9
1981,2.5,-8
1982,2.5,-8
1983,5,8
1984,6,8
1985,6,8
1986,6.5,8
1987,6.5,8
1988,6.5,8
1989,6.5,7
1990,6,7
1991,6,7
1992,5.5,7
1993,5.5,7
1994,5.5,7
1995,5.5,7
1996,5.5,7
1997,5.5,7
1998,5,7
1999,5.5,8
2000,6.5,8
2001,5,8
2002,5,8
2003,6,8
2004,6,8
2005,6,8
2006,6,8
1991,3,7
1992,4.5,7
1993,4.5,7
1994,4.5,7
1995,4,3
1996,3.5,-6
1997,3.5,-6
1998,4,5
1999,4,5
2000,4,5
2001,4,5
2002,4,5
2003,4,5
2004,3.5,5
2005,3.5,5
2006,3.5,5
1972,7,10
1973,7,10
1974,7,10
1975,7,10
1976,7,10
1977,7,10
1978,7,10
1979,7,10
1980,7,10
1981,7,10
1982,7,10
1983,7,10
1984,7,10
1985,7,10
1986,7,10
1987,7,10
1988,7,10
1989,7,10
1990,7,10
1991,7,10
1992,7,10
1993,7,10
1994,7,10
1995,7,10
1996,7,10
1997,7,10
