polity2,Year,CCode,sanctions,sanctionsl1,dpolity,S,W,ndpolity,ds,dw,lagus,lagun,lagpopgled,laggdpchng,GDP_UN,pop1,logpop,MEast,demaut,lGDP_UN,dpolityb,Pdpolity,menergy,senergy,mindustry,sindustry,murban,surban
10,1972,2,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,209896,5.32200416228664,0,1,NA,NA,0.0140252454417952,8.89096121278115,0,29,0,56350,0
10,1973,2,1,0,0,1,1,0,0,0,NA,NA,NA,NA,6338,211909,5.32614940204979,0,1,8.75431854025087,0,0.0140252454417952,8.86559399890272,1.83870401395853e-15,29,0,56266,0
10,1974,2,1,1,0,1,1,0,0,0,NA,NA,NA,NA,6807,213854,5.33011737786466,0,1,8.82570677344795,0,0.0140252454417952,8.82629423124132,0,28,0,56181,0
10,1975,2,0,1,0,1,1,0,0,0,NA,NA,NA,NA,7348,215973,5.33439946094748,0,1,8.90218344633502,0,0.0140252454417952,8.80071662871916,0,28,0,56097,0
10,1976,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,8121,218035,5.33852621418621,0,1,9.00220857828241,0,0.0140252454417952,8.79179002431936,1.83870401395853e-15,29,0,56013,0
10,1977,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,8960,220239,5.34289422646615,0,1,9.10052550596898,0,0.0140252454417952,8.73729211254422,1.83870401395853e-15,29,0,55929,0
10,1978,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,10031,222585,5.34749589388581,0,1,9.21343557688349,0,0.0140252454417952,8.73004395324502,1.83870401395853e-15,29,0,56530,0
10,1979,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,11106,225055,5.35228866601161,0,1,9.31524078180155,0,0.0140252454417952,8.7668618216698,3.67740802791705e-15,31,0,57138,0
10,1980,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,11976,227757,5.35747173367865,0,1,9.39065992609946,0,0.0140252454417952,8.7677962556266,3.67740802791705e-15,34,0,57753,0
10,1981,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,13278,230226,5.36215436802925,0,1,9.49386380927911,0,0.0140252454417952,5.09469164560804,2.40646079631812,34,0,58374,0
10,1982,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,13668,232721,5.36683557440241,0,1,9.52281261323518,0,0.0140252454417952,5.3421309406008,3.50482310410665,32.4928337742377,10.139447188406,59002,0
10,1983,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,14675,235244,5.37151855537189,0,1,9.5939006446963,0,0.0140252454417952,5.33502298638913,2.55917160948512,30.5993480848634,15.3306013432277,59636,0
10,1984,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,16164,237794,5.3762008923358,0,1,9.69054182619836,0,0.0140252454417952,4.83913039115657,3.20292772277664,34.83632982005,10.9560240552454,60277,0
10,1985,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,17147,240371,5.38088207023715,0,1,9.74957851017885,0,0.0140252454417952,5.38551041124739,2.98090479064444,32.2015036567086,13.9370948879261,60926,0
10,1986,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,17943,242977,5.38556516559077,0,1,9.79495534571267,0,0.0140252454417952,4.80186431039212,2.35196359223964,37.2706388964695,15.2294636415702,61581,0
10,1987,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,18927,245610,5.39024604510922,0,1,9.84834475303892,0,0.0140252454417952,5.65961038753173,3.51850342907676,37.7341148884422,13.7319610282141,62243,0
10,1988,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,20194,248273,5.39492949205318,0,1,9.91314080956427,0,0.0140252454417952,6.35832632586449,3.5859441010994,42.2576108346451,10.4325434336439,62913,0
10,1989,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,21489,250964,5.39961142776525,0,1,9.97529645528256,0,0.0140252454417952,5.26065258528259,3.30264449272879,36.3570290985741,12.1303019488432,63589,0
10,1990,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,22489,253684,5.40429307687551,0,1,10.0207815797585,0,0.0140252454417952,8.75951172211649,1.83870401395853e-15,40.4131756367539,14.6235069464839,64273,0
10,1991,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,22951,256513,5.40910937991644,0,1,10.0411167875242,0,0.0140252454417952,8.7448067374019,0,36.1024068212658,11.7129382778609,64964,0
10,1992,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,23974,259734,5.41452880386836,0,1,10.084725188767,0,0.0140252454417952,8.72826416149618,1.83870401395853e-15,49.2456405126452,19.0485098691714,65663,0
10,1993,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,24929,262266,5.41874199257483,0,1,10.1237870633986,0,0.0140252454417952,5.20982844324608,2.25071641437007,40.7305143262222,12.6834897954901,66369,0
10,1994,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,26193,265191,5.42355878098213,0,1,10.1732474784789,0,0.0140252454417952,8.72502003861855,0,39.2979846055142,13.9414001282962,67083,0
10,1995,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,27185,268148,5.42837456209639,0,1,10.21042062958,0,0.0140252454417952,8.71784570489492,3.67740802791705e-15,38.2017980846286,13.2848693516721,67804,0
10,1996,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,28400,270590,5.43231174264938,0,1,10.2541444241493,0,0.0140252454417952,8.72696777499149,1.83870401395853e-15,47.076300252993,14.4882110692774,68533,0
10,1997,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,29923,273054,5.43624854294885,0,1,10.3063826944417,0,0.0140252454417952,8.71784570489492,3.67740802791705e-15,44.3300628842831,11.6427679331178,69270,0
10,1998,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,31261,275541,5.44018623022569,0,1,10.3501265932271,0,0.0140252454417952,6.7076154868315,2.72478723559208,40.5103799416482,17.7751468134325,70015,0
10,1999,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,32672,278051,5.44412446133955,0,1,10.3942737209644,0,0.0140252454417952,6.71482307660301,4.11886672394007,44.4861031880142,14.2299262646331,70768,0
10,2000,2,1,0,0,1,1,0,0,0,NA,NA,NA,NA,34253,281423,5.44935958835421,0,1,10.4415294310954,0,0.0140252454417952,6.23990475117286,2.8922040684614,45.4552063564158,13.2990837669056,71529,0
10,2001,2,1,1,0,1,1,0,0,0,NA,NA,NA,NA,34788,284531,5.45453846005174,0,1,10.4570277787097,0,0.0140252454417952,5.54704850242268,3.37504228615003,41.1818545433554,14.7404793029981,72298,0
10,1972,20,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,21850,4.33945144130644,0,1,NA,NA,0.0140252454417952,9.01687697476338,0,26,0,5304,0
10,1973,20,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5624,22130,4.34498141392726,0,1,8.6347984334905,0,0.0140252454417952,9.11360918301641,0,26,0,5380,0
10,1974,20,0,0,0,1,1,0,0,0,NA,NA,NA,NA,6789,22417,4.35057749181728,0,1,8.82305893430165,0,0.0140252454417952,9.07497873404551,1.83870401395853e-15,27,0,5453,0
10,1975,20,0,0,0,1,1,0,0,0,NA,NA,NA,NA,7271,22705,4.35612150623699,0,1,8.89164911265006,0,0.0140252454417952,9.01103541014182,1.83870401395853e-15,25,0,5526,0
