polity2,Year,CCode,sanctions,sanctionsl1,dpolity,S,W,ndpolity,ds,dw,lagus,lagun,lagpopgled,laggdpchng,industry1,GDP_UN,energy2,pop1,logpop,urban01,MEast,demaut,lGDP_UN,dpolityb,Pdpolity
10,1972,2,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,8.89096121278115,209896,5.32200416228664,56350,0,1,NA,NA,0.0140252454417952
10,1973,2,1,0,0,1,1,0,0,0,NA,NA,NA,NA,29,6338,8.86559399890272,211909,5.32614940204979,56266,0,1,8.75431854025087,0,0.0140252454417952
10,1974,2,1,1,0,1,1,0,0,0,NA,NA,NA,NA,28,6807,8.82629423124132,213854,5.33011737786466,56181,0,1,8.82570677344795,0,0.0140252454417952
10,1975,2,0,1,0,1,1,0,0,0,NA,NA,NA,NA,28,7348,8.80071662871916,215973,5.33439946094748,56097,0,1,8.90218344633502,0,0.0140252454417952
10,1976,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,29,8121,8.79179002431936,218035,5.33852621418621,56013,0,1,9.00220857828241,0,0.0140252454417952
10,1977,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,29,8960,8.73729211254422,220239,5.34289422646615,55929,0,1,9.10052550596898,0,0.0140252454417952
10,1978,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,29,10031,8.73004395324502,222585,5.34749589388581,56530,0,1,9.21343557688349,0,0.0140252454417952
10,1979,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,31,11106,8.7668618216698,225055,5.35228866601161,57138,0,1,9.31524078180155,0,0.0140252454417952
10,1980,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,34,11976,8.7677962556266,227757,5.35747173367865,57753,0,1,9.39065992609946,0,0.0140252454417952
10,1981,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,34,13278,-Inf,230226,5.36215436802925,58374,0,1,9.49386380927911,0,0.0140252454417952
10,1982,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,13668,-Inf,232721,5.36683557440241,59002,0,1,9.52281261323518,0,0.0140252454417952
10,1983,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,14675,-Inf,235244,5.37151855537189,59636,0,1,9.5939006446963,0,0.0140252454417952
10,1984,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,16164,-Inf,237794,5.3762008923358,60277,0,1,9.69054182619836,0,0.0140252454417952
10,1985,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,17147,-Inf,240371,5.38088207023715,60926,0,1,9.74957851017885,0,0.0140252454417952
10,1986,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,17943,-Inf,242977,5.38556516559077,61581,0,1,9.79495534571267,0,0.0140252454417952
10,1987,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,18927,-Inf,245610,5.39024604510922,62243,0,1,9.84834475303892,0,0.0140252454417952
10,1988,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,20194,-Inf,248273,5.39492949205318,62913,0,1,9.91314080956427,0,0.0140252454417952
10,1989,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,21489,-Inf,250964,5.39961142776525,63589,0,1,9.97529645528256,0,0.0140252454417952
10,1990,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,22489,8.75951172211649,253684,5.40429307687551,64273,0,1,10.0207815797585,0,0.0140252454417952
10,1991,2,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,22951,8.7448067374019,256513,5.40910937991644,64964,0,1,10.0411167875242,0,0.0140252454417952
